"Star_Rating","User","Title","Body","Date"
"3.0 out of 5 stars","Kainesmith.ky","The good and the bad","I really like the echo dot so far. It has a few issues though which I will outline below.She tends to speak when not spoken to.  I am a 30 year old male that lives alone and it makes me jump every time but because I'm a big brave man I fight through the fear. Jokes aside though, if it were an older person who lives alone I could really see that being a problem. I'll be sitting watching tv and she will ask me to repeat my question or state a random answer to a question that I did not ask, maybe she picks up the tv I'm not sure.If there is any other noise what so ever she doesn't pick up the wake up word, so be prepared to mute the tv, tell everyone to be quiet and then say Alexa, or in my case echo. I have had to say echo releatedly a few times.Some good about it is the surprisingly good sound of the speaker when it's playing music. It is much better than I expected after reading some of the reviews.I like the ""to do list"" and ""shopping list"" feature which I add to the lists in the app for more clarity then have her read them back to me every morning. I also like asking for world news every morning when I first get up.It looks neat also and over all for the price I think it is worth it even if it only played music upon command from across the room. I can see myself using her for that the most.","December 30, 2016"
"4.0 out of 5 stars","Kindle Customer","Must be positioned 8"" -12"" away from a wall .....","EDIT: All thanks to Amazon's customer service, I learned why my Echo was not working. It must be 8"" -12"" away from a wall. Our Echo Dot works when against an interior wall but not against an exterior wall where it had previously been situated. We adore ""Alexa"" and hope the Echo Dot will soon add a great speaker to its features. For the price, this is a fantastic device. And, it's diminutive size makes it easy to use. Still, our family prefers full-size Echo. Thanks, Amazon for the email help with Echo Dot!*****We are an Amazon device family. And, with the exception of this device, have had wonderful experiences.Echo Dot remains connected until the next time I use it. Literally, I reconnect Echo Dot to our network, ask it a few questions, play some music, walk away. When I return Echo has spontaneously disconnected itself and requires the reconnection procedure again.We have two full size Echos and have no connection issues with them. They operate flawlessly.","April 13, 2017"
"1.0 out of 5 stars","william","NEEDS SECURITY!!!!","NEEDS security! Anyone in range of this things Bluetooth can connect and start playing music or speaking through this thing on cell calls. First few times I started hearing random voices in my living room, I was a bit weirded out, because I had no idea where they were coming from. Then one day, I heard Alexa announce that a bluetooth device had connected, so I opened the app and discovered numerous devices, that weren't mine. After kicking them all off, I attempted to find some kind of security protocol to keep out unwanted connections, but soon discovered that there wasn't any. Now, I get to randomly hear other voices or music start playing, in the middle of the night, anytime the people in the apartments behind me decide they wanna screw around.Other than that, the thing's works pretty well. Some of the functionality, like the particular nature of commands, takes a little getting used to, but about 99% of the time, it understands perfectly.Until amazon decides to add, what should've been a no-brainer, security feature, I cannot give this thing a good rating. The fact that anyone can be woken up in the middle of the night, by a random person connecting to their device, is ridiculous. Fix it.","February 14, 2017"
"4.0 out of 5 stars","Amazon Customer","I love mine but obviously","Honestly, I love mine but obviously, there are some things that could be better. What do I love about it? Both my boyfriend and I downloaded the app and have access to a shopping list that we can both use at the grocery store depending on who is there. With a simple wake up word (her name) and the command of adding an item to the shopping list, it appears in the app. I can ask for a flash briefing and NPR news is retrieved and I am caught up all over the world in subjects from politics all the way to sports news. She also gives great weather information so that I am able to plan for my day ahead. Alexa can learn many skills that continue to evolve. Knowledge from what wines to pair with what meats and good cooking substitutes to helping with a drinking game and other games & trivia. Alexa comes in handy when I need a hands-free timer in the kitchen or an alarm for a nap. Now, what I don't really like but can get passed it once I get the hang of it. Sometimes you ask a question but she doesn't understand the question but you reword the question and she is able to understand it. So just be sure your wording the question correctly. Also, remember that Alexa is always listening.","April 12, 2017"
"5.0 out of 5 stars","Marquino Gadget guru","EXCELLENT Device","This is what I`ve been waiting for!!!!It is simple amazing what you can do with technology nowadays, Amazon is always innovating and staying on top with technology.This new Amazon Echo Dot does what it says it does and provides all the necessary information by simply asking!We like it to much i got a second device to add it in my room, been able to connect to your Bluetooth speakers and devices you can automate lots of things.Great job Amazon","December 5, 2016"
"5.0 out of 5 stars","Alma Narvaez","Yes you need it!","I LOVE THIS little Echo Dot! I have the big one in black - Amazon Echo in the kitchen since it is my main area and I can hear all throughout my place. Great speakers! So convenient in the kitchen. Also I got for my birthday yesterday this small Echo Dot in white and works just as fine for a bedroom. Although it can't answer everything it answers my questions for the most part what I need it for. Great sound. Love it for music, alarm, sports score, while watching TV can ask questions about movies, actors, etc. Just love it. Yes you need it! I plan to get one for the patio as well.","December 4, 2016"
"2.0 out of 5 stars","AReview4U","JUST OK","UPDATE TO REVIEW BELOW:  I have 3 of these set up in my house.  I've already had to exchange one because it quit working.  Now 2 of the other 3 all of a sudden can NEVER hear you - you have to yell at it, whereas before they all worked just fine.  ALSO, I ask/tell it to do something, like turn off a light, and it gives me an answer that is totally unrelated to anything even close to the words I've said.  I'm beginning to think maybe I should try that other one of these things that are out there by another company because these are not holding up.  ALSO, out of the blue I am simply sitting on my couch BY MYSELF surfing the net, and all of a sudden she starts talking for no reason whatsoever.  I do not have the tv on; I'm not talking to myself; so WTF!  I'm becoming less and less enamored with this product, and I've bought about 10 of them - 3 for myself, 2 for my boyfriend and the others I've given out for gifts or plan to (Christmas is almost here).  I normally don't rag on something on here BUT I've bought enough of these that they better not all start messing up, like 2 of my 3 are already doing.  Who wants to have to yell at something for it to respond - AND OH, just so you know, I'm standing with 6' of it - I'm not 50' away.  RIGHT NEXT TO IT and I get NOTHING.  Then I yell, and all of a sudden the stupid thing responds.  Did I mention I was ANNOYED!!!I received my Echos timely and packaged well.  I am in LOVE with this little thing.  It works perfectly for me so far.  I have had a time or 2 when it simply would spin and not respond, but not enough to cause me to want to return it. I have one in my living room and one in my bedroom.  While it does reach out, for me, I don't want to have to yell to it from a distance.  Also, it connected to my Samsung bluetooth soundbar instantly (even though my speaker is not on the ""approved"" list you see here on Amazon).  It has come in so handy numerous times, like asking a quick question I have without having to pull out the tablet or phone to look it up; I have intergrated my google calendar so it will tell me what's on the schedule for the day or week.  I have also integrated the music from my Samsung S7 and it plays all my music as soon as I ask it to.  I have it hooked up to my Hue lights, and it works great from Alexa's standpoint - the Hue lights are a hit or miss as they often keep losing the connection to the bridge - even with the light in the same room as the router.  If this doesn't stop, they'll be going back because at $200 for my Hue kit, these things should not keep losing a connection and becoming undiscoverable - BUT, that has nothing to do with the Alexa.  If you don't have one of these, I highly recommend it.  It is handy as can be and ONLY $49.  What a dream gadget.  MY ONE SUGGESTION IS THIS THOUGH.  IT IS AN AMAZON DEVICE SO WHY DOESN'T IT HAVE A SKILL TO TURN ON OUR AMAZON FIRESTICK!!!","October 26, 2016"
"5.0 out of 5 stars","Manders","I like the Echo Dot.","I like the Dot quite a bit, but it could be better. I'm not sure if it is the ALEXA program that the Dot connects to or if it is the Bing Search engine, I will have to do some more testing. Some times it can't find info it should be able to. Playing Music works Great!!! The Built in speaker is OK. But if you connect it to a really good speaker with either an Audio Cable or Bluetooth it sounds Great!! I am having the Dot read a Kindle book to me. It works well but the inflections in the text to speech program need work. However that is not a limitation of the device but of current technology. Getting local weather or movies works well. Alexa can ""learn"" other ""Skills"" but you have to tell Alexa to use the skill. It would be better if these skills were available all the time, and didn't have to be ""turned on"". The Dot does not have a battery, so if you unplug it, it will need to search and connect to your WIFI again when you plug it back in. A great work around is to get a small battery pack (needs a least a 1 amp output port) and keep it plugged into the battery pack and then plug the battery pack into a wall charger. This allows the Dot to be truly portable. I had mine in my shirt pocket and was listening to a book while putting up Christmas lights outside for at least two hours. The Dot works Great, I am hoping that Alexa herself will get smarter.","December 15, 2016"
"5.0 out of 5 stars","David Allen","More Dots for my house (Happy Amazon Family!)","My family of Amazon product now include 2 Amazon Echos, 2 first gen Amazon Dots, 2 second gen Amazon Dots (one black and one white), 1 Amazon Tap, assorted Amazon Dash buttons (about 8 I think).The good new is the newest Dot comes with the new software already installed that provides you with ESP (Echo Spatial Perception) that keeps your devices from fighting over who will answer you.  The closest Echo or Dot gives you your answer or replies to your commands.  Thank you Amazon!  (BTW - my older products updated so they also have ESP now).The new Dots are a bit smaller and are shiny unlike the first generation that was a flat black.  Installation was easy and only took a couple of minutes for each to connect to my network (using the Alexa app).Size: NEW - 1.3""x3.3""x3.3"" 5.7oz OLD - 1.5""x3.3""x3.3"" 8.8ozVolume Adjustment: NEW - volume up and down buttons OLD - volume ringWarranty: NEW - 90 days included OLD - 1 year includedYou do not get a 3.5 mm audio cable included with the new dot.New color choice of white.Price is $30 cheaper than the first generation dots.I know that Amazon was the first one to really grab the market with these types of devices - beating out the Google and Apple devices (well, Siri on Apple products).  At first she (my girl Alexa) didn't do much more than play some songs and figured out difficult mathematical problems for me.  Now they have all gotten a lot smarter!  I turn lights on and off, adjust my thermostat, play music, find my phone, set timers/alarms and most of all my shopping list!  I love this concept and the Amazon technology involved.  Most of the time I am an Apple geek and stick to that brand but I do 90% of my online shopping through Amazon so they just work great together.  I know that in the future these little devices will do so much more and become a real part of my everyday life.  Right now they are a footstep into the future they promised me when I was a little boy (I grew up watching the Jetsons!).Both devices came well packed without excessive packing materials.  Now at this price-point I have them all over my house so no matter where I am she comes to life and takes care of me.I wish there was a portable battery base that you could buy so you could take it outside if needed.  Right now you have to plug it into a wall outlet.Here is some of my wishlist items for the future software updates:  Work on her voice a bit and give her a little more of a human voice and less mechanical (I don't want to say robotic because it is not like that).  The Echo family needs to learn the host better and anticipate what they want like knowing at certain times of day I do this or that.  Build in voice remote services for TVs, Fire and other streaming devices so we can ditch our remote controls.I have taken a few pictures to show you the visual difference between the first generation Dot and the new Dot.  These pictures were taken by me and I'm not a professional photographer so remember they are just here for a visual.  I'll post more pics later and maybe a video.  I really appreciate you reading my review and I try to be as honest as possible.  If you have any questions for me just ask and I'll do what I can to answer them.  So if you are thinking about getting one of these gagits then go ahead and do it - it is worth the price and before you know it you will have them all over your house.","October 24, 2016"
"5.0 out of 5 stars","Forrest","A true all-in -ne solution that is better than Chromecast Audio!","Just recieved my Echo Dot a few days ago as a graduation gift and it has been truly life changing! This is the all-in-one solution I have been looking for my old Sony G Box. Prior to this I was using Chromecast audio and a Bluetooth adapter that fit on top of the iPod dock using the old apple standard so I would have to constantly walk up to the box and switch between Bluetooth and castiing which took up a lot of time. The reason I did this was because I like to stream from multiple music services like Apple Music and Spotify but you could only listen over wifi with Spotify because Apple Music doesn't support it.Echo Dot has Bluetooth built in so I can seamlessly switch to services (like Apple Music) that don't support wifi streaming with just a simple voice command!Speaking of voice commands so far Alexa has been able to understand me most of the time and it's been really convient. You do have to give up some privacy with the voice commands but there is a switch on the device to turn the mic off which is nice.My only issue is not with the device itself but with the Alexa app. Amazon needs more developers to work on it to make it more intuitive and faster. Right now the app feels clunky and slow. If Amazon can fix this issue than it will be perfect. I'm still giving a five star rating because the device is just so good.","December 25, 2016"
"4.0 out of 5 stars","Axiom Brevity","Is It Worth It?"," Hello Everyone,To start off my review I just wanted to mention that this product was not provided to me at a discount or free and I purchased it with my own funds.=========================================================================================================Price Point=========Fantastic! Why? Because if you're unsure of the uprising smart home trend but want to get your feet wet The New Echo Dot isn't such a heavy investment. Coming in around $50, this lets you experiment and get a taste of what everyone is talking about without breaking the bank.===================================================================================================So what comes inside the box?=======================(1x) Echo Dot (2nd Gen)(1x) 9-watt Power Adapter(1x) Micro USB cable(1x) Quick Start Guide* 3.5 mm aux cable sold separately*==========================================The Design===========================This smart home automation device resembles the dimensions of a well-dressed hockey puck. It has four buttons on it's halo-like top as well as seven microphones underneath the hood. There's a pair of buttons to increase and decrease the volume. Next you have the mute button than finally the action button for pairing the Dot to your WI-FI and/or Bluetooth devices. The speaker introduced with this model isn't too bad and deserves a bit of respect in terms of providing a decent sound for a Bluetooth transmitter, that being said there is always room for improvement. There is an illuminated edge that follows along the circular rim and lights up when alexa is speaking and called to action. The siding has a glossy finish with the USB connection and 3.5 mm aux port embedded on back to manually connect to speakers sporting the same connector. Beneath the device lies a rubber-like pad to add grip to keep it stationary on most surfaces. On the top and bottom you'll find tiny symmetrical holes for the mic's receivers to pick up on your voice as well as to help with distributing the output evenly.==========================================================================================================Functionality=========Alexa can do multiple things from controlling your thermostat, to ordering you an uber, and even playing jeopardy and solving math problems. She was mainly created to be an assistant in many fashions and is continually being integrated into appliances. I personally use the Dot for listening to music on my Bluetooth speaker, updates on weather forecasts, amazon shopping and package tracking, using Wikipedia, searching movie times and a personal reading assistant for my audible books but the list is growing seeing as she learns new skills every month and all you have to do is enable them through the Alexa app. I don't have any smart home toys to control but from my research she works more efficiently than any of the competitors (cough)(cough) Google Home.P.S. - Her jokes are corny...====================================================My Opinion-----------------This is a great opportunity for tech enthusiast and skeptics alike, as well as soccer moms and busy dads to dabble in the likes of smart home assistants. I find that the more I go through the learning curve with the Dot the more I see a practical use for it but don't get me wrong, artificial intelligence still gives me goose bumps and it's hard to get the terminator's skynet out of my brain. So I keep mine unplugged when not in use. Now, while the speaker is impressive for the quality in such a small package it will still tempt you to connect it to a more vibrant sound source so get a good speaker to pair it with.All in all,  it's not a finished product but it is the best option out there at the moment even more so for newbies and curious hopefuls treading into AI device land in terms of quality and tender. Try it out and who knows you might even find it useful.My verdict, it's worth it!Axiom Brevity==========[...] You can also check out all my other reviews on You Tube @ Axiom Brevity.Thank you for your time.","January 18, 2017"
"5.0 out of 5 stars","Manders","I like the Echo Dot.","I like the Dot quite a bit, but it could be better. I'm not sure if it is the ALEXA program that the Dot connects to or if it is the Bing Search engine, I will have to do some more testing. Some times it can't find info it should be able to. Playing Music works Great!!! The Built in speaker is OK. But if you connect it to a really good speaker with either an Audio Cable or Bluetooth it sounds Great!! I am having the Dot read a Kindle book to me. It works well but the inflections in the text to speech program need work. However that is not a limitation of the device but of current technology. Getting local weather or movies works well. Alexa can ""learn"" other ""Skills"" but you have to tell Alexa to use the skill. It would be better if these skills were available all the time, and didn't have to be ""turned on"". The Dot does not have a battery, so if you unplug it, it will need to search and connect to your WIFI again when you plug it back in. A great work around is to get a small battery pack (needs a least a 1 amp output port) and keep it plugged into the battery pack and then plug the battery pack into a wall charger. This allows the Dot to be truly portable. I had mine in my shirt pocket and was listening to a book while putting up Christmas lights outside for at least two hours. The Dot works Great, I am hoping that Alexa herself will get smarter.","December 15, 2016"
